Part,Pin Number,Pin Name,Side,Order,Pin Type,Pin Shape
ADAU1797.1,L7,AIN0+,L,1,Input,None
ADAU1797.1,L6,AIN0-,L,2,Input,None
ADAU1797.1,K6,AIN1+,L,4,Input,None
ADAU1797.1,K5,AIN1-,L,5,Input,None
ADAU1797.1,K4,AIN2+,L,7,Input,None
ADAU1797.1,L4,AIN2-,L,8,Input,None
ADAU1797.1,L5,CM,L,10,Output,None
ADAU1797.1,H5,JTAG_TDO/MP26,L,14,Output,None
ADAU1797.1,H6,JTAG_TRST/MP22,L,15,Input,None
ADAU1797.1,H7,JTAG_TCK/MP24,L,16,Input,None
ADAU1797.1,G6,JTAG_TMS/MP23,L,17,Input,None
ADAU1797.1,G5,JTAG_TDI/MP25,L,18,Input,None
ADAU1797.1,C5,QSPIM_CS0/MP16,L,21,Input,None
ADAU1797.1,D4,QSPIM_CS1/MP17,L,22,Input,None
ADAU1797.1,B4,QSPIM_CLK/MP15,L,23,Input,None
ADAU1797.1,A2,QSPIM_SDIO_0/MP18,L,24,Input,None
ADAU1797.1,C4,QSPIM_SDIO_1/MP19,L,25,Input,None
ADAU1797.1,B3,QSPIM_SDIO_2/MP20,L,26,Input,None
ADAU1797.1,C3,QSPIM_SDIO_3/MP21,L,27,Input,None
ADAU1797.1,E3,UART_CTS/MP30,L,30,Input,None
ADAU1797.1,E2,UART_TX/MP27,L,31,Output,None
ADAU1797.1,D2,UART_RTS/MP29,L,32,Output,None
ADAU1797.1,D1,UART_RX/MP28,L,33,Input,None
ADAU1797.1,J4,TEST1,L,36,DNC,None
ADAU1797.1,J5,TEST2,L,37,Ground,None
ADAU1797.1,J6,TEST0,L,38,DNC,None
ADAU1797.1,G4,TEST_EN,L,39,Ground,None
ADAU1797.1,B7,XTALI/MCLKIN,L,41,Input,None
ADAU1797.1,C7,XTALO,L,42,Output,None
ADAU1797.1,G3,PD,L,45,Input,None
ADAU1797.1,J2,FB_HPOUT-,R,40,Input,None
ADAU1797.1,J1,HPOUT-,R,39,Output,None
ADAU1797.1,L1,HPOUT+,R,38,Output,None
ADAU1797.1,K2,FB_HPOUT+,R,37,Input,None
ADAU1797.1,C2,SCL1,R,33,Output,None
ADAU1797.1,B2,SDA1,R,32,Input,None
ADAU1797.1,F3,ADDR1/MOSI,R,28,Input,None
ADAU1797.1,D3,ADDR0/SS,R,27,Input,None
ADAU1797.1,B1,SDA0/MISO,R,26,Input,None
ADAU1797.1,C1,SCL0/SCLK,R,25,Input,None
ADAU1797.1,A6,FSYNC_1/MP7,R,21,Input,None
ADAU1797.1,A5,BCLK_1/MP6,R,20,Input,None
ADAU1797.1,B5,SDATAI_1/MP5,R,19,Input,None
ADAU1797.1,B6,SDATAO_1/MP4,R,18,Output,None
ADAU1797.1,F6,FSYNC_0/MP3,R,14,Input,None
ADAU1797.1,G7,BCLK_0/MP2,R,13,Input,None
ADAU1797.1,F5,SDATAI_0/MP1,R,12,Input,None
ADAU1797.1,E5,SDATAO_0/MP0,R,11,Output,None
ADAU1797.1,D7,DMIC_CLK0/MP13,R,7,Output,None
ADAU1797.1,E6,DMIC_CLK1/MP14,R,6,Output,None
ADAU1797.1,C6,DMIC01/MP8,R,5,Input,None
ADAU1797.1,D6,DMIC23/MP9,R,4,Input,None
ADAU1797.1,D5,DMIC45/MP10,R,3,Input,None
ADAU1797.1,F4,DMIC89/MP12,R,2,Input,None
ADAU1797.1,E4,DMIC67/MP11,R,1,Input,None
ADAU1797.1,J3,REG_EN,T,14,Input,None
ADAU1797.1,H2,CP1+,T,13,Power,None
ADAU1797.1,H3,CP1-,T,12,Power,None
ADAU1797.1,G1,CP2+,T,11,Output,None
ADAU1797.1,G2,CP2-,T,10,Output,None
ADAU1797.1,F7,DVDD,T,9,Power,None
ADAU1797.1,A3,DVDD,T,8,Power,None
ADAU1797.1,F1,DVDD,T,7,Power,None
ADAU1797.1,A1,IOVDD,T,6,Power,None
ADAU1797.1,A7,IOVDD,T,5,Power,None
ADAU1797.1,K7,AVDD,T,4,Power,None
ADAU1797.1,L3,AVDD,T,3,Power,None
ADAU1797.1,H1,HPVDD,T,2,Power,None
ADAU1797.1,K1,HPVDD,T,1,Power,None
ADAU1797.1,F2,SELFBOOT/MP31,B,1,Input,None
ADAU1797.1,H4,DGND,B,2,Ground,None
ADAU1797.1,E7,DGND,B,3,Ground,None
ADAU1797.1,E1,DGND,B,4,Ground,None
ADAU1797.1,A4,DGND,B,5,Ground,None
ADAU1797.1,L2,HPGND,B,6,Ground,None
ADAU1797.1,J7,AGND,B,7,Ground,None
ADAU1797.1,K3,AGND,B,8,Ground,None
